source node,target node,path size
63,1252,3
63,1338,3
63,1972,3
63,1919,3
63,39,3
63,260,3
63,393,3
63,2062,3
63,460,3
63,2061,3
63,375,3
63,364,3
63,575,3
63,278,3
63,322,3
63,279,3
63,1201,3
63,3312,3
63,803,3
63,42,3
63,1406,3
63,3319,3
63,1639,3
63,21339,4
63,21338,4
63,13729,4
63,17540,4
63,13730,4
63,13731,4
63,8948,4
63,12330,4
63,14885,4
63,24090,4
63,2069,4
63,30965,4
63,5581,4
63,5557,4
63,22113,4
63,12273,4
63,22114,4
63,25537,4
63,2027,4
63,4260,4
63,4261,4
63,4255,4
63,865,4
63,4259,4
63,2074,4
63,1342,4
63,541,4
63,2177,4
63,1408,4
63,11242,5
63,11241,5
63,24098,5
63,29808,5
63,24099,5
63,18407,5
63,14478,5
63,18649,5
63,18408,5
63,18405,5
63,18406,5
63,12390,5
63,110,5
63,4373,5
63,4374,5
63,4364,5
63,4367,5
63,4368,5
63,25370,6
63,25350,6
63,25372,6
63,25371,6
63,25351,6
63,25431,6
63,24100,6
63,25430,6
63,25417,6
63,25416,6
63,15594,6
63,29802,7
63,15906,7
63,12281,7
63,8216,7
63,33661,7
63,30150,7
63,34749,7
63,20975,7
63,35874,8
63,36257,8
63,36256,8
63,36255,8
63,20544,8
63,20553,8
63,20552,8
63,20551,8
63,20032,8
63,8214,8
63,20581,8
63,20548,8
63,20547,8
63,20546,8
63,20557,8
63,20545,8
63,20556,8
63,16707,8
63,13884,8
63,13960,8
63,17786,8
63,20974,8
63,37775,9
63,20357,9
63,27863,9
63,20031,9
63,20358,9
63,19347,9
63,19441,9
63,18220,9
63,19440,9
63,18221,9
63,18222,9
63,29011,10
63,28949,10
63,28716,10
63,28715,10
63,14409,10
63,19346,10
1921,1921,0
1921,12,1
1921,63,1
1921,2190,2
1921,24555,2
1921,157,2
1921,24554,2
1921,4,2
1921,2194,2
1921,3158,2
1921,448,2
1921,4202,2
1921,328,2
1921,2197,2
1921,649,2
1921,194,2
1921,1922,2
1921,4309,3
1921,4295,3
1921,4310,3
1921,667,3
1921,4302,3
1921,4307,3
1921,4308,3
1921,89,3
1921,5496,3
1921,49,3
1921,2111,3
1921,180,3
1921,2175,3
1921,1096,3
1921,2060,3
1921,132,3
1921,1425,3
1921,156,3
1921,102,3
1921,2214,3
1921,3533,3
1921,2212,3
1921,7,3
1921,304,3
1921,1276,3
1921,2211,3
1921,307,3
1921,813,3
1921,4204,3
1921,4206,3
1921,3638,3
1921,3639,3
1921,10991,3
1921,980,3
1921,1953,3
1921,9068,3
1921,8847,3
1921,4710,3
1921,85,3
1921,137,3
1921,1632,3
1921,1621,3
1921,1421,3
1921,1251,3
1921,901,3
1921,748,3
1921,172,3
1921,394,3
1921,26607,3
1921,26606,3
1921,26605,3
1921,26604,3
1921,2011,4
1921,1053,4
1921,1052,4
1921,1051,4
1921,154,4
1921,363,4
1921,870,4
1921,155,4
1921,520,4
1921,635,4
1921,519,4
1921,4172,4
1921,4183,4
1921,4173,4
1921,4184,4
1921,2067,4
1921,196,4
1921,4171,4
1921,840,4
1921,712,4
1921,515,4
1921,713,4
1921,946,4
1921,947,4
1921,1911,4
1921,13658,4
1921,1634,4
1921,1633,4
1921,7561,4
1921,7560,4
1921,7563,4
1921,1885,4
1921,7562,4
1921,7103,4
1921,7532,4
1921,7565,4
1921,7564,4
1921,7104,4
1921,2068,4
1921,7643,4
1921,1082,4
1921,1081,4
1921,3698,4
1921,3788,4
1921,435,4
1921,11097,4
1921,1422,4
1921,2073,4
1921,1390,4
1921,2072,4
1921,1252,4
1921,1338,4
1921,1972,4
1921,1919,4
1921,39,4
1921,260,4
1921,393,4
1921,2062,4
1921,460,4
1921,2061,4
1921,375,4
1921,364,4
1921,575,4
1921,278,4
1921,322,4
1921,279,4
1921,1201,4
1921,3312,4
1921,803,4
1921,42,4
1921,1406,4
1921,3319,4
1921,1639,4
1921,21339,5
1921,21338,5
1921,13729,5
1921,17540,5
1921,13730,5
1921,13731,5
1921,8948,5
1921,12330,5
1921,14885,5
1921,24090,5
1921,2069,5
1921,30965,5
1921,5581,5
1921,5557,5
1921,22113,5
1921,12273,5
1921,22114,5
1921,25537,5
1921,2027,5
1921,4260,5
1921,4261,5
1921,4255,5
1921,865,5
1921,4259,5
1921,2074,5
1921,1342,5
1921,541,5
1921,2177,5
1921,1408,5
1921,11242,6
1921,11241,6
1921,24098,6
1921,29808,6
1921,24099,6
1921,18407,6
1921,14478,6
1921,18649,6
1921,18408,6
1921,18405,6
1921,18406,6
1921,12390,6
1921,110,6
1921,4373,6
1921,4374,6
1921,4364,6
1921,4367,6
1921,4368,6
1921,25370,7
1921,25350,7
1921,25372,7
1921,25371,7
1921,25351,7
1921,25431,7
1921,24100,7
1921,25430,7
1921,25417,7
1921,25416,7
1921,15594,7
1921,29802,8
1921,15906,8
1921,12281,8
1921,8216,8
1921,33661,8
1921,30150,8
1921,34749,8
1921,20975,8
1921,35874,9
1921,36257,9
1921,36256,9
1921,36255,9
1921,20544,9
1921,20553,9
1921,20552,9
1921,20551,9
1921,20032,9
1921,8214,9
1921,20581,9
1921,20548,9
1921,20547,9
1921,20546,9
1921,20557,9
1921,20545,9
1921,20556,9
1921,16707,9
1921,13884,9
1921,13960,9
1921,17786,9
1921,20974,9
1921,37775,10
1921,20357,10
1921,27863,10
1921,20031,10
1921,20358,10
1921,19347,10
1921,19441,10
1921,18220,10
1921,19440,10
1921,18221,10
1921,18222,10
1921,29011,11
1921,28949,11
1921,28716,11
1921,28715,11
1921,14409,11
1921,19346,11
2194,2194,0
2194,12,1
2194,1921,2
2194,2190,2
2194,24555,2
2194,157,2
2194,24554,2
2194,4,2
